536	2	3
537	0	5
538	3	3
539	0	3
540	9	4
541	2	5
542	3	1
543	1	5
544	1	2
545	1	3
546	2	6
547	0	4
548	1	6
549	0	1
550	0	5
551	0	3
552	0	3
553	4	3
554	1	2
555	0	2
556	1	3
557	2	3
558	0	1
559	0	4
560	2	4
561	0	6
562	0	10
563	0	2
564	1	4
565	0	3
566	0	4
567	1	3
568	3	2
569	1	6
570	3	7
571	0	3
572	0	5
573	0	3
574	1	3
575	0	6
576	1	2
577	1	0
578	0	5
579	0	7
581	1	3
582	0	6
583	2	6
584	0	7
585	0	1
586	3	4
587	2	5
588	1	8
589	0	3
590	0	5
591	0	7
592	0	3
593	1	5
594	3	5
595	3	2
596	1	10
597	0	5
598	0	2
599	0	1
600	3	4
601	1	3
602	0	2
603	2	3
604	2	1
605	1	5
606	3	5
607	1	5
608	0	3
609	1	3
610	1	3
611	1	7
612	2	5
613	0	8
614	0	8
615	0	4
616	0	5
617	0	8
618	0	5
619	0	2
620	1	5
621	3	3
622	7	2
623	0	4
624	3	3
625	0	6
626	6	1
627	1	3
628	0	8
629	0	7
630	1	1
632	9	6
633	1	5
634	0	10
635	1	6
636	3	3
637	0	5
638	0	4
639	0	3
640	1	5
641	0	4
642	0	9
643	0	4
644	0	6
645	2	0
646	0	2
647	0	4
648	2	5
649	1	2
650	0	5
651	0	2
652	0	7
653	0	5
654	1	3
655	2	3
656	2	5
657	0	4
658	1	3
659	1	7
660	2	2
661	1	8
662	0	5
663	0	4
664	2	4
665	2	4
666	1	2
667	1	4
668	4	3
669	3	1
670	1	7
671	1	2
672	1	0
673	0	2
674	0	3
675	1	4
676	0	3
677	0	7
678	0	6
679	1	6
680	2	3
681	0	7
682	2	6
683	0	4
684	2	4
685	1	2
686	1	1
687	5	5
688	1	4
689	3	6
690	1	4
691	1	4
692	0	2
693	1	3
694	2	7
695	3	5
696	0	5
697	1	1
698	0	8
699	1	4
700	0	7
701	0	3
702	1	2
703	1	7
704	1	10
705	0	4
706	0	7
707	1	7
708	0	5
709	1	4
710	0	5
711	1	3
712	1	8
713	1	6
714	2	6
715	1	7
716	0	3
717	1	6
718	0	6
719	0	2
720	0	10
721	0	2
722	0	8
723	1	4
724	1	5
725	3	5
726	3	3
727	3	9
728	0	3
729	2	4
730	1	6
731	2	4
732	2	2
733	3	3
734	0	4
735	1	1
736	0	4
737	0	8
738	2	3
739	1	3
740	1	2
741	2	4
742	3	2
743	0	4
744	0	4
745	1	2
746	1	4
747	0	2
748	1	1
749	0	6
750	0	5
751	1	6
752	1	7
753	0	9
754	1	0
755	0	5
756	0	7
757	0	9
759	1	6
760	0	2
761	5	4
762	1	5
763	0	4
764	1	2
765	0	5
766	1	7
767	1	4
768	1	5
769	5	6
770	2	4
771	1	10
772	0	3
773	3	2
774	0	3
775	1	1
776	0	2
777	0	2
778	0	3
779	3	4
780	0	2
781	2	4
782	2	4
783	2	5
784	0	5
785	0	1
786	0	2
787	1	6
788	0	6
789	1	6
790	0	5
791	0	3
792	1	7
793	0	8
794	4	2
795	2	4
796	1	7
797	1	5
798	0	2
799	1	5
800	0	3
801	0	5
802	2	7
803	0	6
804	1	4
805	0	4
806	0	6
807	0	6
808	0	6
809	0	1
811	0	4
812	0	4
813	0	6
814	2	0
815	1	6
816	0	7
817	2	3
818	0	7
819	2	2
820	0	4
821	1	8
822	0	3
823	0	2
824	0	7
825	2	9
826	0	3
827	1	4
828	0	4
829	0	6
830	0	4
831	1	2
832	1	4
833	0	3
834	2	6
835	1	1
836	1	5
837	0	6
838	1	7
839	0	3
840	1	7
841	0	3
842	0	7
843	0	6
844	0	7
845	0	1
846	0	4
847	2	3
848	1	3
849	0	3
850	0	2
851	0	4
852	1	6
853	0	3
854	2	5
855	0	4
856	1	5
857	1	5
858	3	6
859	1	2
860	5	7
861	0	8
862	0	6
863	1	3
864	1	3
865	0	7
866	2	1
867	1	5
868	3	4
869	0	5
870	3	5
871	0	8
872	0	6
873	0	6
874	0	6
875	4	4
876	2	4
877	1	7
878	0	4
879	1	4
880	1	6
881	0	5
882	1	6
883	0	6
884	0	6
885	1	2
886	1	8
887	1	5
888	1	5
889	0	8
890	1	5
891	0	4
892	2	1
893	3	5
894	3	0
895	3	3
896	0	3
897	1	4
898	0	8
899	5	2
900	2	11
901	1	5
902	1	10
903	1	4
904	2	6
905	0	5
906	1	3
907	0	4
908	1	3
909	1	5
910	3	3
911	1	3
912	1	8
913	1	5
914	0	6
915	1	5
916	0	5
917	2	5
918	0	4
919	3	8
920	1	8
921	3	4
922	0	7
923	2	1
924	0	1
925	0	6
926	1	4
927	1	3
928	2	5
929	1	4
930	5	2
931	1	4
932	6	3
933	3	4
934	3	3
935	3	6
936	2	1
937	1	0
938	1	3
939	0	5
940	2	5
941	0	4
942	2	3
943	0	3
944	2	3
945	3	7
946	0	3
947	0	3
948	0	5
949	0	2
950	0	6
951	0	6
952	0	2
953	3	8
954	0	5
955	0	3
956	0	3
957	1	5
958	1	3
959	0	5
960	0	3
961	2	2
962	0	9
963	0	3
964	1	3
965	0	5
966	1	2
967	1	4
968	0	3
969	1	8
970	0	5
971	2	5
972	0	8
973	1	4
974	0	3
975	0	5
976	0	3
977	1	4
978	0	7
979	2	3
980	2	7
981	0	5
982	1	3
983	3	3
984	0	2
985	1	4
986	0	4
987	0	5
988	3	2
989	1	2
990	1	4
991	0	5
992	1	5
993	0	4
994	0	3
995	0	1
996	2	6
997	0	4
998	0	3
999	2	6
1000	0	4
1001	1	1
1002	0	6
1003	0	3
1004	0	5
1005	0	1
1006	2	3
1007	0	11
1008	1	1
1009	1	1
1010	0	6
1011	2	2
1012	2	6
1013	0	3
1014	0	6
1015	2	2
1016	1	9
1017	0	5
1018	1	2
1019	0	3
1020	0	8
1021	0	2
1022	1	4
1023	1	5
1024	1	9
1025	1	6
1026	0	2
1027	1	2
1028	0	5
1029	1	4
1030	1	5
1031	2	4
1032	0	6
1033	0	2
1034	0	4
1035	0	5
1036	5	5
1037	0	4
1038	1	2
1039	0	6
1040	0	2
1041	1	4
1042	1	6
1043	1	4
1044	1	5
1045	0	5
1046	0	5
1047	0	1
1048	0	3
1049	0	4
1050	0	5
1051	1	0
1052	0	4
1053	1	5
1054	1	3
1055	2	5
1056	0	3
1057	0	2
1058	1	3
1059	3	1
1060	3	4
1061	1	4
1062	1	3
1063	2	3
1064	0	2
1065	0	6
1066	1	4
1067	0	1
1068	2	5
1069	0	7
1070	0	7
1071	1	4
1072	0	10
1073	1	3
1074	1	7
1075	1	2
1076	1	3
1077	0	4
1078	0	3
1079	0	5
1080	2	3
1081	1	3
1082	1	2
1083	0	5
1084	2	3
1085	1	5
1086	0	5
1087	1	5
1088	0	8
1089	1	6
1090	3	5
1091	2	2
1092	0	3
1093	0	9
1094	0	8
1095	0	5
1096	1	4
1097	4	5
1098	1	4
1099	1	1
1100	1	2
1101	3	4
1103	5	1
1104	0	3
1105	0	1
1106	1	6
1107	2	5
1108	1	5
1109	1	3
1110	0	4
1111	1	1
1112	1	9
1113	0	4
1114	2	3
1115	2	4
1116	0	7
1117	0	7
1118	0	4
1119	0	2
1120	0	3
1121	0	5
1122	0	3
1123	0	4
1124	0	3
1125	0	2
1126	2	2
1127	2	9
1128	1	3
1129	2	3
1130	3	2
1131	0	7
1132	1	4
1133	1	4
1134	0	9
1135	2	3
1136	1	4
1137	0	4
1138	0	3
1139	0	8
1140	0	1
1141	0	3
1142	1	6
1143	0	4
1144	0	4
1145	0	4
1146	0	2
1147	0	10
1148	0	6
1149	1	5
1150	1	5
1151	2	2
1152	0	2
1153	3	7
1154	1	5
1155	2	6
1156	0	7
1157	0	3
1158	2	5
1159	2	5
1160	1	3
1161	0	3
1162	1	4
1163	0	9
1164	1	6
1165	4	3
1166	1	8
1167	0	3
1168	0	4
1169	0	8
1170	3	6
1171	1	5
1172	0	4
1173	0	1
1174	1	5
1175	0	1
1176	0	3
1177	1	4
1178	0	2
1179	0	4
1180	0	6
1181	0	2
1182	0	3
1183	0	5
1184	0	4
1185	0	6
1186	1	3
1187	0	2
1188	2	7
1189	2	3
1190	5	5
1191	0	3
1192	3	3
1193	3	4
1194	1	7
1195	1	7
1196	0	8
1197	0	6
1198	1	5
1199	0	7
1200	2	7
1201	0	4
1202	0	7
1203	0	10
1204	0	6
1205	0	9
1206	0	5
1207	1	3
1208	0	10
1209	0	5
1210	1	1
1211	0	3
1212	0	4
