1	0	5
2	0	2
3	0	5
4	0	7
5	1	2
6	0	2
7	0	3
8	1	4
9	0	7
10	0	3
11	0	2
12	0	3
13	0	3
14	0	1
15	1	4
16	1	2
17	1	4
18	0	3
19	1	4
20	0	5
21	0	2
22	1	4
23	0	3
24	0	4
25	0	3
26	1	4
27	1	1
28	0	2
29	1	7
30	0	5
31	0	2
32	0	3
33	0	4
34	0	1
35	0	3
36	1	3
37	3	3
38	1	2
39	1	3
40	1	2
41	3	6
42	0	3
43	0	4
44	3	3
45	0	3
46	0	7
47	1	1
48	0	4
49	2	3
50	1	4
51	1	4
52	1	6
53	0	4
54	4	3
55	3	1
56	2	4
57	0	4
58	2	4
59	2	5
60	5	5
61	2	4
62	0	3
63	4	2
64	1	2
65	1	3
66	1	5
67	0	3
68	0	8
69	0	4
70	2	2
71	1	4
72	3	1
73	1	5
74	0	7
75	1	3
76	0	5
77	1	4
78	0	4
79	1	2
80	3	4
81	2	6
82	1	4
83	4	5
84	3	7
85	0	3
86	6	1
87	0	3
88	1	3
89	3	3
90	0	12
91	1	5
92	0	9
93	1	5
94	0	3
95	1	6
96	0	5
97	0	3
98	1	5
99	3	4
100	1	1
101	2	5
102	0	2
103	1	2
104	1	10
105	1	4
106	1	2
107	0	5
108	0	4
109	1	8
110	0	5
111	2	6
112	2	5
113	1	3
114	1	2
115	0	1
116	4	6
117	0	4
118	0	2
119	1	7
120	1	4
121	1	7
122	0	7
123	2	5
124	1	6
125	1	6
126	1	2
127	1	2
128	4	1
129	0	2
130	0	3
131	1	10
132	0	1
133	0	6
134	0	3
135	0	2
136	2	3
137	1	6
138	1	1
139	2	4
140	0	2
141	1	9
142	2	6
143	1	5
144	1	3
145	3	4
146	3	1
147	1	1
148	0	4
149	1	1
150	0	3
151	0	2
152	0	3
153	1	4
154	1	6
155	1	4
156	0	8
157	0	1
158	1	2
159	0	5
160	0	3
161	0	4
162	0	4
163	3	3
164	1	6
165	1	2
166	1	5
167	3	3
168	0	2
169	1	6
170	0	5
171	0	8
172	0	7
173	1	4
174	0	4
175	4	2
176	1	2
178	3	3
179	0	4
180	0	6
181	2	1
182	3	3
183	2	7
184	1	1
185	1	3
186	2	4
187	1	5
188	1	6
189	1	4
190	1	1
191	1	6
192	0	4
193	1	5
194	2	6
195	1	5
196	3	3
197	3	4
198	1	3
199	0	4
200	0	2
201	0	5
202	0	6
203	1	5
204	0	2
205	1	0
206	2	2
207	0	4
208	2	4
209	3	2
210	0	2
211	1	8
212	1	1
213	2	3
214	0	6
215	2	3
216	0	4
217	1	2
218	3	5
220	2	6
221	0	1
222	2	4
223	1	2
224	1	7
225	3	4
226	0	4
227	1	3
228	0	5
229	3	3
230	1	6
231	0	1
232	0	1
233	0	2
234	0	7
235	0	4
236	4	1
237	3	6
238	0	3
239	1	4
240	1	4
241	0	3
242	1	4
243	1	2
244	0	4
245	1	3
246	0	2
247	0	2
248	0	2
249	0	3
250	0	1
251	0	5
252	1	4
253	2	3
254	1	1
255	4	2
256	0	3
257	2	6
258	2	4
259	4	5
260	0	9
261	2	8
262	0	2
263	1	3
264	1	6
265	0	5
266	0	2
267	0	4
268	0	4
269	0	4
270	0	6
271	1	3
272	0	4
273	0	4
274	2	3
275	4	1
276	2	6
277	1	3
278	0	1
279	1	10
281	0	5
282	1	6
283	1	4
285	0	3
286	0	5
287	0	6
288	0	4
289	2	6
290	1	5
291	0	5
292	0	7
293	0	4
294	0	4
