1	3	5
2	1	6
3	0	3
4	0	4
5	0	4
6	2	5
7	2	4
8	0	5
9	3	3
10	3	1
11	1	5
12	2	5
13	1	4
14	1	7
15	4	5
16	0	3
17	0	1
18	3	9
19	1	2
20	0	3
22	1	2
23	1	2
24	2	7
25	0	4
26	0	3
27	0	5
28	0	3
29	3	1
30	0	3
31	2	7
32	0	6
33	1	2
34	4	4
35	3	3
36	1	6
37	4	4
38	0	3
39	1	3
40	1	6
41	0	3
42	2	4
43	5	7
44	0	4
45	2	4
46	1	5
47	0	5
48	2	3
49	0	5
50	2	5
51	1	7
52	0	7
53	1	3
54	1	4
55	1	8
56	1	5
57	2	6
58	1	3
59	0	3
60	1	4
61	1	2
62	0	3
63	1	4
64	0	5
65	0	4
66	0	1
67	0	5
68	0	3
69	1	1
70	0	7
71	1	5
72	0	3
73	3	6
74	1	3
75	1	4
76	3	4
78	2	10
79	2	3
80	0	2
81	4	3
82	0	2
83	1	7
84	0	3
85	1	1
86	1	5
87	0	5
88	0	4
89	2	4
90	0	3
91	2	6
92	0	4
93	0	8
94	0	1
95	2	4
96	0	4
97	0	4
98	1	2
99	0	2
100	2	3
103	0	2
104	1	6
105	0	5
106	1	3
107	0	3
108	0	2
109	0	3
110	1	7
111	0	2
112	1	6
113	1	5
114	1	3
115	1	4
116	1	3
117	0	1
118	1	1
119	1	2
120	3	4
121	1	5
122	1	6
123	0	6
124	2	5
125	3	2
126	0	5
127	3	2
128	1	1
129	2	6
130	1	8
131	0	1
132	0	5
133	2	3
134	2	2
135	1	8
136	2	4
137	0	4
138	0	3
139	0	4
140	1	2
141	0	3
142	0	3
143	0	3
144	2	5
145	1	4
147	3	6
148	3	4
149	1	1
150	1	3
151	3	7
152	2	2
153	1	4
154	0	4
155	2	4
156	3	4
157	1	6
158	3	3
159	0	4
160	1	6
161	1	3
162	0	1
163	5	4
164	1	4
165	0	7
166	1	5
167	2	3
168	1	5
169	2	4
170	0	5
171	2	3
172	0	8
173	1	7
174	0	4
175	1	2
176	2	4
177	0	6
178	0	8
179	2	5
180	2	3
181	1	5
182	2	7
183	0	7
184	0	4
185	2	3
186	1	4
187	4	4
188	0	1
189	0	6
190	1	2
191	1	7
192	1	4
193	2	3
194	4	7
195	3	5
196	3	6
197	1	4
198	3	1
199	1	1
200	0	4
201	1	2
202	0	6
203	1	0
204	0	4
205	2	2
206	2	3
207	0	1
208	2	6
209	1	2
210	1	3
211	1	4
212	0	2
213	0	5
214	0	5
215	0	5
